Time_ns,QueueLength,Event
35316,103752,Dequ
35317,0,Recv
35368,103752,Enqu
35451,104800,Enqu
35483,104800,Dequ
35484,0,Recv
35534,104800,Enqu
35617,105848,Enqu
35650,105848,Dequ
35651,0,Recv
35700,105848,Enqu
35783,106896,Enqu
35817,106896,Dequ
35818,0,Recv
35866,106896,Enqu
35949,107944,Enqu
35984,107944,Dequ
35985,0,Recv
36032,107944,Enqu
36115,108992,Enqu
36151,108992,Dequ
36152,0,Recv
36198,108992,Enqu
36281,110040,Enqu
36318,110040,Dequ
36319,0,Recv
36364,110040,Enqu
36447,111088,Enqu
36485,111088,Dequ
36486,0,Recv
36530,111088,Enqu
36613,112136,Enqu
36652,112136,Dequ
36653,0,Recv
36696,112136,Enqu
36779,113184,Enqu
36819,113184,Dequ
36820,0,Recv
36862,113184,Enqu
36945,114232,Enqu
36986,114232,Dequ
36987,0,Recv
37028,114232,Enqu
37111,115280,Enqu
37153,115280,Dequ
37154,0,Recv
37194,115280,Enqu
37277,116328,Enqu
37320,116328,Dequ
37321,0,Recv
37360,116328,Enqu
37443,117376,Enqu
37487,117376,Dequ
37488,0,Recv
37526,117376,Enqu
37609,118424,Enqu
37654,118424,Dequ
37655,0,Recv
37692,118424,Enqu
37775,119472,Enqu
37821,119472,Dequ
37822,0,Recv
37858,119472,Enqu
37941,120520,Enqu
37988,120520,Dequ
37989,0,Recv
38024,120520,Enqu
38107,121568,Enqu
38155,121568,Dequ
38156,0,Recv
38190,121568,Enqu
38273,122616,Enqu
38322,122616,Dequ
38323,0,Recv
38356,122616,Enqu
38439,123664,Enqu
38489,123664,Dequ
38490,0,Recv
38522,123664,Enqu
38605,124712,Enqu
38656,124712,Dequ
38657,0,Recv
38688,124712,Enqu
38771,125760,Enqu
38823,125760,Dequ
38824,0,Recv
38854,125760,Enqu
38937,126808,Enqu
38990,126808,Dequ
38991,0,Recv
39020,126808,Enqu
39103,127856,Enqu
39157,127856,Dequ
39158,0,Recv
39186,127856,Enqu
39269,128904,Enqu
39324,128904,Dequ
39325,0,Recv
39352,128904,Enqu
39491,128904,Dequ
39492,0,Recv
39658,127856,Dequ
39659,0,Recv
39825,126808,Dequ
39826,0,Recv
39992,125760,Dequ
39993,0,Recv
40159,124712,Dequ
40160,0,Recv
40326,123664,Dequ
40327,0,Recv
40493,122616,Dequ
40494,0,Recv
40660,121568,Dequ
40661,0,Recv
40827,120520,Dequ
40828,0,Recv
40994,119472,Dequ
40995,0,Recv
41161,118424,Dequ
41162,0,Recv
41328,117376,Dequ
41329,0,Recv
41495,116328,Dequ
41496,0,Recv
41662,115280,Dequ
41663,0,Recv
41829,114232,Dequ
41830,0,Recv
41996,113184,Dequ
41997,0,Recv
42163,112136,Dequ
42164,0,Recv
42330,111088,Dequ
42331,0,Recv
42497,110040,Dequ
