# Link Utilization Monitor
# Format: time: <timestamp_ns>
# node_id port_id tx_bytes_total tx_throughput_Gbps tx_util_percent
time: 2000000000
time: 2000100000
10 2 15007284 50.1456 50.15
10 3 15008632 50.1456 50.15
10 4 0 0.0000 0.00
11 1 665400 2.2320 2.23
11 2 14988412 50.1456 100.00
12 1 664920 2.2320 2.23
12 2 14976280 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002500000
0 1 0 0.0000 0.00
1 1 15673196 50.1456 100.00
2 1 15673196 50.1456 100.00
3 1 693660 2.2320 2.23
4 1 694140 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 31308648 100.2912 100.00
9 2 690600 2.2368 4.47
9 3 691620 2.2320 4.46
10 1 1383900 4.4688 4.47
10 2 15635452 50.2534 50.25
10 3 15635452 50.1456 50.15
10 4 0 0.0000 0.00
11 1 693300 2.2320 2.23
11 2 15615232 50.1456 100.00
12 1 692820 2.2320 2.23
12 2 15603100 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002600000
0 1 0 0.0000 0.00
1 1 16301364 50.2534 100.00
2 1 16301364 50.2534 100.00
3 1 721560 2.2320 2.23
4 1 722040 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 32563636 100.3990 100.00
9 2 718500 2.2320 4.46
9 3 719520 2.2320 4.46
10 1 1439700 4.4640 4.46
10 2 16262272 50.1456 50.15
10 3 16262272 50.1456 50.15
10 4 0 0.0000 0.00
11 1 721200 2.2320 2.23
11 2 16242052 50.1456 100.00
12 1 720720 2.2320 2.23
12 2 16229920 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002700000
0 1 0 0.0000 0.00
